corpus,file,raw,pulsar,pulsar_ok,pulsar_magic,gzip9,bzip29,xz6
calgary,bib,111261,29155,OK,BW22,34900,27467,30588
calgary,book1,768771,241098,OK,BW22,312281,232598,261116
calgary,book2,610856,163477,OK,BW22,206158,157443,169824
calgary,geo,102400,62337,OK,BW22,68414,56921,53364
calgary,news,377109,122520,OK,BW22,144400,118600,118900
calgary,obj1,21504,14010,OK,BW22,10320,10787,9428
calgary,obj2,246814,80474,OK,BW22,81087,76441,61504
calgary,paper1,53161,18120,OK,BW22,18543,16558,17280
calgary,paper2,82199,26858,OK,BW22,29667,25041,27228
calgary,paper3,46526,17278,OK,BW22,18074,15837,17064
calgary,paper4,13286,6261,OK,BW22,5534,5188,5408
calgary,paper5,11954,6102,OK,BW22,4995,4837,4900
calgary,paper6,38105,13785,OK,BW22,13213,12292,12504
calgary,pic,513216,52577,OK,BW22,52381,49759,41992
calgary,progc,39611,14013,OK,BW22,13261,12544,12560
calgary,progl,71646,17023,OK,BW22,16164,15579,14984
calgary,progp,49379,12036,OK,BW22,11186,10710,10352
calgary,trans,93695,19175,OK,BW22,18862,17899,16720
silesia,xml,5345280,473150,OK,BW22,662284,441186,453260
silesia,ooffice,6152192,2936768,OK,BW22,3090442,2862526,2426816
silesia,reymont,6627202,1307469,OK,BW22,1820834,1246230,1317152
silesia,sao,7251944,5121635,OK,BW22,5327041,4940524,4415072
silesia,x-ray,8474240,4276720,OK,BW22,6037713,4051112,4489912
silesia,mr,9970564,2647404,OK,BW22,3673940,2441280,2750228
silesia,osdb,10085684,2947692,OK,BW22,3716342,2802792,2850104
silesia,dickens,10192446,2907619,OK,BW22,3851823,2799520,2831676
silesia,samba,21606400,4719479,OK,BW22,5408272,4549759,3787400
silesia,nci,33553445,1886804,OK,BW22,2987533,1812734,1779272
silesia,webster,41458703,8948058,OK,BW22,12061624,8644714,8628848
silesia,mozilla,51220480,18482144,OK,BW22,18994142,17914392,13503600
